DEPTH,DEN,GR,AC,VP,Reservoir_Type
2971.875,2.035,34.268,113.547,8806.957,6
2972,2.04,35.104,112.249,8908.798,6
2972.125,2.047,36.339,111.161,8995.961,6
2972.25,2.058,36.38,110.204,9074.105,6
2972.375,2.061,34.934,109.831,9104.931,6
2972.5,2.058,33.805,109.742,9112.265,6
2972.625,2.056,33.805,109.742,9112.265,6
2972.75,2.06,34.209,109.488,9133.463,6
2972.875,2.063,34.208,109.185,9158.75,8
2973,2.065,32.529,109.06,9169.265,8
2973.125,2.064,30.431,109.74,9112.473,8
2973.25,2.055,30.436,110.609,9040.872,8
2973.375,2.051,30.436,110.609,9040.872,8
2973.5,2.049,31.754,111.249,8988.829,8
2973.625,2.047,32.097,111.801,8944.472,8
2973.75,2.05,32.373,111.864,8939.458,8
2973.875,2.054,32.036,111.911,8935.672,6
2974,2.059,32.036,111.911,8935.672,6
2974.125,2.065,32.368,111.074,9003.031,6
2974.25,2.087,31.606,109.256,9152.849,6
2974.375,2.099,31.667,107.764,9279.528,6
2974.5,2.114,31.259,106.773,9365.654,6
2974.625,2.127,31.066,106.57,9383.486,6
2974.75,2.149,31.066,106.57,9383.486,6
2974.875,2.157,30.436,106.825,9361.148,6
2975,2.161,31.031,107.258,9323.305,6
2975.125,2.165,31.768,108.145,9246.845,6
2975.25,2.169,32.072,108.357,9228.753,6
2975.375,2.171,32.072,108.357,9228.753,6
2975.5,2.171,31.164,107.854,9271.828,6
2975.625,2.168,30.545,107.474,9304.559,6
2975.75,2.153,30.885,106.886,9355.745,6
2975.875,2.145,31.215,106.071,9427.621,6
2976,2.136,31.482,105.73,9458.035,6
2976.125,2.128,31.482,105.73,9458.035,6
2976.25,2.118,31.846,105.855,9446.876,6
2976.375,2.114,32.459,106.491,9390.491,6
2976.5,2.114,32.038,107.672,9287.483,6
2976.625,2.111,31.622,108.006,9258.762,6
2976.75,2.102,31.622,108.006,9258.762,6
2976.875,2.096,32.627,108.685,9200.919,6
2977,2.089,33.399,109.84,9104.185,6
2977.125,2.082,33.097,110.301,9066.06,6
2977.25,2.071,31.35,110.541,9046.449,6
2977.375,2.069,30.521,110.805,9024.871,6
2977.5,2.072,30.521,110.805,9024.871,6
2977.625,2.076,31.091,110.287,9067.219,6
2977.75,2.082,31.896,108.595,9208.51,6
2977.875,2.082,33.021,107.028,9343.323,6
2978,2.079,33.518,107.858,9271.467,6
2978.125,2.078,33.777,109.667,9118.488,6
2978.25,2.076,33.777,109.667,9118.488,6
2978.375,2.078,33.321,111.715,8951.333,6
2978.5,2.081,32.378,112.694,8873.603,6
2978.625,2.085,32.155,113.158,8837.217,6
2978.75,2.094,32.493,112.161,8915.771,6
2978.875,2.101,32.493,112.161,8915.771,6
2979,2.106,33.863,113.29,8826.928,6
2979.125,2.111,36.214,114.942,8700.032,6
2979.25,2.117,41.388,116.348,8594.927,6
2979.375,2.333,92.786,126.681,7893.844,9
2979.5,2.356,98.15,124.405,8038.281,9
2979.625,2.362,98.404,122.394,8170.315,9
2979.75,2.366,97.34,121.938,8200.882,9
2979.875,2.37,97.009,122.459,8166.012,9
2980,2.371,97.009,122.459,8166.012,9
2980.125,2.37,99.382,123.313,8109.445,9
2980.25,2.363,101.771,123.587,8091.499,9
2980.375,2.358,102.83,122.773,8145.113,9
2980.5,2.356,102.758,121.53,8228.414,9
2980.625,2.354,102.758,121.53,8228.414,9
2980.75,2.346,101.43,120.578,8293.366,9
2980.875,2.019,83.358,128.961,7754.294,5
2981,2.045,85.432,129.548,7719.153,5
2981.125,2.059,88.306,129.5,7721.99,5
2981.25,2.077,90.859,128.923,7756.567,5
2981.375,2.099,90.859,128.923,7756.567,5
2981.5,2.145,91.157,128.013,7811.725,5
2981.625,2.158,87.768,126.775,7888.009,5
2981.75,2.16,82.988,125.713,7954.621,5
2981.875,2.136,82.109,125.284,7981.84,5
2982,2.062,83.366,125.658,7958.127,5
2982.125,2.364,108.977,114.261,8751.907,4
2982.25,2.355,107.642,112.874,8859.46,4
2982.375,2.352,105.83,111.237,8989.814,4
2982.5,2.357,104.709,109.176,9159.48,4
2982.625,2.371,103.375,106.462,9393.041,4
2982.75,2.371,103.375,106.462,9393.041,4
2982.875,2.387,99.703,103.338,9677.02,4
2983,2.401,94.442,100.419,9958.295,4
2983.125,2.41,91.094,100.754,9925.164,4
2983.25,1.964,52.737,109.889,9100.101,1
2983.375,1.946,52.737,115.36,8668.493,1
2983.5,1.977,56.201,118.313,8452.143,1
2983.625,2.088,66.077,116.464,8586.352,1
2983.75,2.088,66.077,116.464,8586.352,1
2983.875,2.407,66.176,102.904,9717.823,13
2984,2.407,66.176,102.904,9717.823,13
2984.125,2.4,58.438,101.437,9858.307,13
2984.25,2.397,56.402,100.561,9944.213,13
2984.375,2.411,55.588,97.903,9973.576172,13
2984.5,2.421,56.606,98.033,9979.446289,13
2984.625,2.435,57.42,98.142,9987.581055,13
2984.75,2.435,57.42,98.142,9987.581055,13
2984.875,2.433,62.693,98.466,9948.689453,13
2985,2.436,69.438,99.935,9979.075195,13
2985.125,2.436,77.961,101.848,9818.534,12
2985.25,2.441,89.385,104.363,9581.931,12
2985.375,2.443,93.127,103.637,9649.026,12
2985.5,2.443,93.127,103.637,9649.026,12
2985.625,2.439,99.264,104.985,9525.152,12
2985.75,2.434,97.126,107.984,9260.623,12
2985.875,2.426,101.402,110.961,9012.216,12
2986,2.418,97.737,114.231,8754.176,12
2986.125,2.495,78.474,102.145,9789.994,4
2986.25,2.471,78.735,103.828,9631.322,4
2986.375,2.471,78.735,103.828,9631.322,4
2986.5,2.425,79.278,107.396,9311.316,4
2986.625,2.393,86.272,110.066,9085.441,4
2986.75,2.398,92.842,112.489,8889.742,4
2986.875,2.393,94.099,114.169,8758.93,4
2987,2.392,96.652,117.202,8532.277,4
2987.125,2.375,100.919,120.211,8362.966,0
2987.25,2.375,104.424,120.211,8318.72,0
2987.375,2.379,95.524,120.106,8325.951,0
2987.5,2.383,93.425,119.689,8354.966,0
2987.625,2.375,89.207,121.202,8250.675,0
2987.75,2.356,90.275,121.799,8210.221,0
2987.875,2.356,90.275,121.799,8210.221,0
2988,2.349,89.215,121.407,8236.73,0
2988.125,2.346,90.483,121.977,8198.246,0
2988.25,2.345,94.989,121.736,8214.504,0
2988.375,2.345,96.385,122.051,8193.296,0
2988.5,2.353,94.988,121.169,8252.97,0
2988.625,2.353,94.988,121.169,8252.97,0
2988.75,2.367,93.359,119.219,8387.896,0
2988.875,2.388,87.963,121.794,8210.578,0
2989,2.394,89.999,120.687,8285.91,0
2989.125,2.393,87.479,121.24,8248.109,0
2989.25,2.393,87.479,121.24,8248.109,0
2989.375,2.372,88.932,122.598,8156.727,0
2989.5,2.361,87.822,122.571,8158.557,0
2989.625,2.355,90.34,122.044,8193.746,0
2989.75,2.364,94.049,122.312,8175.779,0
2989.875,2.365,94.447,121.53,8228.448,0
2990,2.365,94.447,121.53,8228.448,0
2990.125,2.403,90.995,120.85,8274.721,0
2990.25,2.451,84.892,118.932,8408.159,0
2990.375,2.541,81.354,118.008,8474.03,0
2990.5,2.567,80.577,115.933,8625.664,0
2990.625,2.567,80.577,115.933,8625.664,0
2990.75,2.555,82.74,115.906,8627.682,0
2990.875,2.524,89.332,114.85,8706.979,0
2991,2.467,95.575,118.245,8457.032,0
2991.125,2.422,94.938,118.287,8453.986,0
2991.25,2.373,93.207,118.339,8450.321,0
2991.375,2.373,93.207,118.339,8450.321,0
2991.5,2.369,89.973,116.192,8606.459,0
2991.625,2.374,92.748,114.009,8771.245,0
2991.75,2.383,89.185,110.7,9033.424,0
2991.875,2.418,84.196,112.707,8872.548,0
2992,2.393,85.664,107.79,9277.324,4
2992.125,2.363,89.771,109.187,9158.633,4
2992.25,2.359,92.545,106.82,9361.525,4
2992.375,2.359,92.545,106.82,9361.525,4
2992.5,2.393,88.341,103.442,9667.234,4
2992.625,2.424,86.131,101.047,9896.424,4
2992.75,2.433,82.669,98.959,9958.691406,4
2992.875,2.421,77.884,95.817,9977.980469,4
2993,2.417,78.393,95.205,9969.734375,4
2993.125,2.417,78.393,95.205,9969.734375,4
2993.25,2.43,77.68,94.729,9986.115234,4
2993.375,2.444,82.669,91.83,9976.59082,4
2993.5,2.456,79.717,90.836,9958.087891,4
2993.625,2.458,82.974,91.124,9958.492188,4
